cross_ID,block,male_pop,male_line,species,control_type,collect_virgins,set_up_date,dissect_time,eu_live,eu_dead,eu_total,para_live,para_dead,para_total,prop_live_eu,prop_live_para
1,1,Zion,Z9,Conspecific,testes,1-Oct,8-Oct,3:47,8,1,9,3,17,20,0.888888889,0.15
2,1,Mt St Helena,MSH68,Conspecific,testes,14-Oct,21-Oct,4:28,54,5,59,16,39,55,0.915254237,0.290909091
3,1,Mt St Helena,MSH3sh,Heterospecific,testes,14-Oct,21-Oct,4:34,25,16,41,6,70,76,0.609756098,0.078947368
4,1,Sierra,MVMS1-1,Conspecific,testes,11-Nov,18-Nov,1:02,52,4,56,48,49,97,0.928571429,0.494845361
5,1,Lamoille,LCMS2-5,Conspecific,testes,14-Oct,21-Oct,4:41,70,12,82,24,67,91,0.853658537,0.263736264
7,2,Zion,Z9,Conspecific,testes,11-Nov,18-Nov,1:43,37,9,46,13,37,50,0.804347826,0.26
8,2,Mt St Helena,MSH68,Conspecific,testes,11-Nov,18-Nov,1:46,100,29,129,56,47,103,0.775193798,0.54368932
9,2,Mt St Helena,MSH3sh,Heterospecific,testes,3-Dec,10-Dec,3:58,52,10,62,53,70,123,0.838709677,0.430894309
10,2,Sierra,MVMS1-1,Conspecific,testes,3-Dec,10-Dec,4:03,88,9,97,62,43,105,0.907216495,0.59047619
11,2,Lamoille,LCMS2-5,Conspecific,testes,3-Dec,10-Dec,4:37,46,30,76,19,71,90,0.605263158,0.211111111
13,3,Zion,Z9,Conspecific,testes,4-Dec,11-Dec,10:45,36,16,52,31,42,73,0.692307692,0.424657534
14,3,Mt St Helena,MSH68,Conspecific,testes,4-Dec,11-Dec,10:48,84,19,103,43,45,88,0.815533981,0.488636364
15,3,Mt St Helena,MSH3sh,Heterospecific,testes,4-Dec,11-Dec,11:34,13,14,27,10,69,79,0.481481481,0.126582278
16,3,Sierra,MVMS1-1,Conspecific,testes,4-Dec,11-Dec,11:38,71,14,85,52,47,99,0.835294118,0.525252525
17,3,Lamoille,LCMS2-5,Conspecific,testes,4-Dec,11-Dec,12:07,39,13,52,16,35,51,0.75,0.31372549
98,25,Mt St Helena,MSH3sh,Heterospecific,2hr,20-Mar,27-Mar,11:57,43,25,68,27,65,92,0.632352941,0.293478261
100,25,Mt St Helena,MSH3sh,Heterospecific,2hr,3-May,10-May,2:13,20,15,35,2,27,29,0.571428571,0.068965517
102,26,Mt St Helena,MSH3sh,Heterospecific,2hr,29-May,5-Jun,1:22,18,14,32,3,24,27,0.5625,0.111111111
104,26,Mt St Helena,MSH3sh,Heterospecific,2hr,29-May,5-Jun,2:54,27,9,36,22,27,49,0.75,0.448979592
105,27,Mt St Helena,MSH3sh,Heterospecific,2hr,23-Jul,30-Jul,11:46,18,6,24,4,30,34,0.75,0.117647059
108,27,Mt St Helena,MSH3sh,Heterospecific,2hr,17-Jul,24-Jul,12:14,38,19,57,3,18,21,0.666666667,0.142857143
